spec_T,Surname,Name,OCC,Diameter,TOF,Launch_date,Min_dv,Duration,Stay
0.9685885906219482,1994 QC,Lucianotesi,0,1.17,280.0,2026-05-26 00:00:00,14.98,443,53
0.1749083399772644,1999 RH27,Davidharvey,0,4.106,160.0,2033-10-26 00:00:00,22.53,428,8
0.8902148008346558,1993 UB,,0,2.54,440.0,2048-03-21 00:00:00,26.46,398,8
0.3146272897720337,1997 WU22,,0,1.87,420.0,2033-10-06 00:00:00,18.05,433,28
0.6445600986480713,1998 QS52,,0,7.59,260.0,2037-07-07 00:00:00,32.24,338,8
0.1663874387741089,2000 LC16,,0,3.183,260.0,2044-12-27 00:00:00,20.56,443,8
0.9406147599220276,1992 QN,,0,1.93,190.0,2040-05-12 00:00:00,12.39,448,28
0.8902148008346558,1998 NU,,0,3.61,410.0,2036-11-09 00:00:00,18.42,413,8
0.9441240429878235,1999 YN4,,0,3.54,220.0,2032-06-13 00:00:00,29.6,398,8
0.23660969734191895,1997 GH3,,0,0.91,440.0,2028-05-25 00:00:00,33.25,448,43
0.90574711561203,1998 FX2,,0,1.22,410.0,2038-10-20 00:00:00,17.35,338,8
0.938938319683075,1998 VD35,,1,0.46,160.0,2041-06-06 00:00:00,12.65,343,13
0.8902148008346558,2000 SE45,,0,2.92,440.0,2041-11-23 00:00:00,23.04,428,8
0.8503686189651489,2000 UV13,,0,9.52,440.0,2030-09-22 00:00:00,31.36,353,8
0.9421049952507019,2000 EX106,,0,1.48,220.0,2037-09-05 00:00:00,10.77,448,13
0.9213191866874695,1999 CU3,,0,2.42,440.0,2026-12-12 00:00:00,18.82,443,8
0.90574711561203,1994 EF2,,0,1.76,130.0,2045-03-07 00:00:00,27.14,368,8
0.90574711561203,2000 VN2,,0,3.05,290.0,2047-05-06 00:00:00,19.48,398,8
0.9986729621887207,1998 SF36,Itokawa,0,0.33,390.0,2035-08-07 00:00:00,7.57,308,8
0.3748682737350464,1999 KV4,,0,3.21,400.0,2044-04-11 00:00:00,16.05,388,13
0.8902148008346558,1998 PG,,0,1.86,190.0,2038-05-23 00:00:00,18.32,413,8
0.90574711561203,1998 PB1,,0,2.12,440.0,2049-11-11 00:00:00,18.1,443,8
0.8902148008346558,1994 RH,,0,3.85,170.0,2048-10-07 00:00:00,26.5,443,8
0.47927141189575195,1991 VH,,0,0.929,190.0,2048-01-31 00:00:00,10.18,373,13
0.9256314635276794,1997 XF11,,0,2.31,180.0,2027-11-17 00:00:00,12.53,343,13
0.90574711561203,1998 BG9,,0,0.77,440.0,2025-05-11 00:00:00,26.62,433,13
0.8598031997680664,1998 SU27,,0,0.77,440.0,2029-04-20 00:00:00,17.02,433,13
0.9600441455841064,1999 ND43,,0,0.81,360.0,2029-01-20 00:00:00,11.54,398,8
0.3748682737350464,1999 TX16,,0,2.339,370.0,2026-05-26 00:00:00,30.81,358,13
0.871662437915802,2000 DM8,,0,5.71,390.0,2031-02-19 00:00:00,33.5,358,13
0.90574711561203,2001 RM,,0,4.16,430.0,2028-08-13 00:00:00,35.22,443,38
0.09499102830886841,1999 GJ4,,0,1.641,170.0,2033-11-25 00:00:00,27.69,443,8
0.3404618501663208,1995 BC2,,0,0.844,430.0,2047-01-26 00:00:00,17.48,413,8
0.8886467814445496,1999 JM8,,0,7.0,440.0,2025-11-17 00:00:00,23.99,443,23
